child,parent
"Adult,Animation,Fantasy","Animation,Fantasy"
"Adventure,Animation,Fantasy","Animation,Fantasy"
"Action,Animation,History","Animation,History"
"Adventure,Animation,History","Animation,History"
"Action,Animation,Horror","Animation,Horror"
"Adult,Animation,Horror","Animation,Horror"
"Adventure,Animation,Horror","Animation,Horror"
"Action,Animation,Music","Animation,Music"
"Action,Animation,Musical","Animation,Musical"
"Adventure,Animation,Musical","Animation,Musical"
"Action,Animation,Mystery","Animation,Mystery"
"Adventure,Animation,Mystery","Animation,Mystery"
"Action,Animation,Romance","Animation,Romance"
"Adventure,Animation,Romance","Animation,Romance"
"Action,Animation,Sci-Fi","Animation,Sci-Fi"
"Adult,Animation,Sci-Fi","Animation,Sci-Fi"
"Adventure,Animation,Sci-Fi","Animation,Sci-Fi"
"Action,Animation,Sport","Animation,Sport"
"Action,Animation,Thriller","Animation,Thriller"
"Action,Animation,War","Animation,War"
"Biography,Horror",Biography
"Biography,Musical",Biography
"Biography,Reality-TV",Biography
"Biography,Romance",Biography
"Biography,Sport",Biography
"Biography,War",Biography
"Documentary,Talk-Show",Biography
"Family,News",Biography
"Action,Biography,Comedy","Biography,Comedy"
"Adventure,Biography,Comedy","Biography,Comedy"
"Animation,Biography,Comedy","Biography,Comedy"
"Action,Biography,Crime","Biography,Crime"
"Adventure,Biography,Crime","Biography,Crime"
"Animation,Biography,Crime","Biography,Crime"
"Action,Biography,Documentary","Biography,Documentary"
"Adult,Biography,Documentary","Biography,Documentary"
"Adventure,Biography,Documentary","Biography,Documentary"
"Animation,Biography,Documentary","Biography,Documentary"
"Action,Biography,Drama","Biography,Drama"
"Adult,Biography,Drama","Biography,Drama"
"Adventure,Biography,Drama","Biography,Drama"
"Animation,Biography,Drama","Biography,Drama"
"Adventure,Biography,Family","Biography,Family"
"Animation,Biography,Family","Biography,Family"
"Action,Biography,Fantasy","Biography,Fantasy"
"Animation,Biography,Fantasy","Biography,Fantasy"
"Action,Biography,History","Biography,History"
"Adventure,Biography,History","Biography,History"
"Animation,Biography,History","Biography,History"
"Animation,Biography,Music","Biography,Music"
"Adventure,Biography,Mystery","Biography,Mystery"
"Action,Biography,Sci-Fi","Biography,Sci-Fi"
"Action,Biography,Thriller","Biography,Thriller"
"Adventure,Biography,Thriller","Biography,Thriller"
"Action,Biography,Western","Biography,Western"
"Comedy,News",Comedy
"Comedy,Short",Comedy
"Comedy,Talk-Show",Comedy
"Drama,Reality-TV",Comedy
"History,Sport",Comedy
"Horror,Musical",Comedy
"Music,Sport",Comedy
"Music,War",Comedy
"Musical,Reality-TV",Comedy
"Musical,Sport",Comedy
"Musical,Western",Comedy
"Mystery,Sport",Comedy
"Sport,Western",Comedy
"Talk-Show,Thriller",Comedy
"Action,Comedy,Crime","Comedy,Crime"
"Adult,Comedy,Crime","Comedy,Crime"
"Adventure,Comedy,Crime","Comedy,Crime"
"Animation,Comedy,Crime","Comedy,Crime"
"Biography,Comedy,Crime","Comedy,Crime"
"Action,Comedy,Documentary","Comedy,Documentary"
"Adult,Comedy,Documentary","Comedy,Documentary"
"Adventure,Comedy,Documentary","Comedy,Documentary"
"Animation,Comedy,Documentary","Comedy,Documentary"
"Biography,Comedy,Documentary","Comedy,Documentary"
"Action,Comedy,Drama","Comedy,Drama"
"Adult,Comedy,Drama","Comedy,Drama"
"Adventure,Comedy,Drama","Comedy,Drama"
"Animation,Comedy,Drama","Comedy,Drama"
"Biography,Comedy,Drama","Comedy,Drama"
"Action,Comedy,Family","Comedy,Family"
"Adventure,Comedy,Family","Comedy,Family"
"Animation,Comedy,Family","Comedy,Family"
"Biography,Comedy,Family","Comedy,Family"
"Action,Comedy,Fantasy","Comedy,Fantasy"
"Adult,Comedy,Fantasy","Comedy,Fantasy"
"Adventure,Comedy,Fantasy","Comedy,Fantasy"
"Animation,Comedy,Fantasy","Comedy,Fantasy"
"Biography,Comedy,Fantasy","Comedy,Fantasy"
"Action,Comedy,History","Comedy,History"
"Adventure,Comedy,History","Comedy,History"
"Animation,Comedy,History","Comedy,History"
"Biography,Comedy,History","Comedy,History"
"Action,Comedy,Horror","Comedy,Horror"
"Adult,Comedy,Horror","Comedy,Horror"
"Adventure,Comedy,Horror","Comedy,Horror"
"Animation,Comedy,Horror","Comedy,Horror"
"Biography,Comedy,Horror","Comedy,Horror"
"Action,Comedy,Music","Comedy,Music"
"Adult,Comedy,Music","Comedy,Music"
"Adventure,Comedy,Music","Comedy,Music"
"Animation,Comedy,Music","Comedy,Music"
"Biography,Comedy,Music","Comedy,Music"
"Action,Comedy,Musical","Comedy,Musical"
"Adventure,Comedy,Musical","Comedy,Musical"
"Animation,Comedy,Musical","Comedy,Musical"
"Biography,Comedy,Musical","Comedy,Musical"
"Action,Comedy,Mystery","Comedy,Mystery"
"Adult,Comedy,Mystery","Comedy,Mystery"
"Adventure,Comedy,Mystery","Comedy,Mystery"
"Animation,Comedy,Mystery","Comedy,Mystery"
"Adult,Comedy,Reality-TV","Comedy,Reality-TV"
"Adventure,Comedy,Reality-TV","Comedy,Reality-TV"
"Biography,Comedy,Reality-TV","Comedy,Reality-TV"
"Action,Comedy,Romance","Comedy,Romance"
"Adult,Comedy,Romance","Comedy,Romance"
"Adventure,Comedy,Romance","Comedy,Romance"
"Animation,Comedy,Romance","Comedy,Romance"
"Biography,Comedy,Romance","Comedy,Romance"
"Action,Comedy,Sci-Fi","Comedy,Sci-Fi"
"Adult,Comedy,Sci-Fi","Comedy,Sci-Fi"
"Adventure,Comedy,Sci-Fi","Comedy,Sci-Fi"
"Animation,Comedy,Sci-Fi","Comedy,Sci-Fi"
"Biography,Comedy,Sci-Fi","Comedy,Sci-Fi"
"Action,Comedy,Sport","Comedy,Sport"
"Adult,Comedy,Sport","Comedy,Sport"
"Adventure,Comedy,Sport","Comedy,Sport"
"Action,Comedy,Thriller","Comedy,Thriller"
"Adult,Comedy,Thriller","Comedy,Thriller"
"Adventure,Comedy,Thriller","Comedy,Thriller"
"Action,Comedy,War","Comedy,War"
"Adventure,Comedy,War","Comedy,War"
"Action,Comedy,Western","Comedy,Western"
"Adult,Comedy,Western","Comedy,Western"
"Adventure,Comedy,Western","Comedy,Western"
"Mystery,News",Crime
"Action,Crime,Documentary","Crime,Documentary"
"Adventure,Crime,Documentary","Crime,Documentary"
"Animation,Crime,Documentary","Crime,Documentary"
"Biography,Crime,Documentary","Crime,Documentary"
"Comedy,Crime,Documentary","Crime,Documentary"
"Action,Crime,Drama","Crime,Drama"
"Adult,Crime,Drama","Crime,Drama"
"Adventure,Crime,Drama","Crime,Drama"
"Animation,Crime,Drama","Crime,Drama"
"Biography,Crime,Drama","Crime,Drama"
"Comedy,Crime,Drama","Crime,Drama"
"Adventure,Crime,Family","Crime,Family"
"Animation,Crime,Family","Crime,Family"
"Comedy,Crime,Family","Crime,Family"
"Action,Crime,Fantasy","Crime,Fantasy"
"Animation,Crime,Fantasy","Crime,Fantasy"
"Comedy,Crime,Fantasy","Crime,Fantasy"
"Action,Crime,History","Crime,History"
"Biography,Crime,History","Crime,History"
"Comedy,Crime,History","Crime,History"
"Action,Crime,Horror","Crime,Horror"
"Adventure,Crime,Horror","Crime,Horror"
"Biography,Crime,Horror","Crime,Horror"
"Comedy,Crime,Horror","Crime,Horror"
"Action,Crime,Music","Crime,Music"
"Adventure,Crime,Music","Crime,Music"
"Animation,Crime,Music","Crime,Music"
"Biography,Crime,Music","Crime,Music"
"Comedy,Crime,Music","Crime,Music"
"Action,Crime,Musical","Crime,Musical"
"Comedy,Crime,Musical","Crime,Musical"
"Action,Crime,Mystery","Crime,Mystery"
"Adult,Crime,Mystery","Crime,Mystery"
"Adventure,Crime,Mystery","Crime,Mystery"
"Animation,Crime,Mystery","Crime,Mystery"
"Comedy,Crime,Mystery","Crime,Mystery"
"Action,Crime,Romance","Crime,Romance"
"Adventure,Crime,Romance","Crime,Romance"
"Biography,Crime,Romance","Crime,Romance"
"Comedy,Crime,Romance","Crime,Romance"
"Action,Crime,Sci-Fi","Crime,Sci-Fi"
"Adventure,Crime,Sci-Fi","Crime,Sci-Fi"
"Animation,Crime,Sci-Fi","Crime,Sci-Fi"
"Comedy,Crime,Sci-Fi","Crime,Sci-Fi"
"Action,Crime,Sport","Crime,Sport"
"Comedy,Crime,Sport","Crime,Sport"
"Action,Crime,Thriller","Crime,Thriller"
"Adult,Crime,Thriller","Crime,Thriller"
"Adventure,Crime,Thriller","Crime,Thriller"
"Animation,Crime,Thriller","Crime,Thriller"
"Biography,Crime,Thriller","Crime,Thriller"
"Comedy,Crime,Thriller","Crime,Thriller"
"Action,Crime,War","Crime,War"
"Action,Crime,Western","Crime,Western"
"Adventure,Crime,Western","Crime,Western"
"Biography,Crime,Western","Crime,Western"
"Comedy,Crime,Western","Crime,Western"
"Documentary,Game-Show",Documentary
"Documentary,Short",Documentary
"Family,Reality-TV",Documentary
"Family,War",Documentary
"Game-Show,History",Documentary
"History,Reality-TV",Documentary
"Horror,News",Documentary
"Horror,Reality-TV",Documentary
"Music,News",Documentary
"Music,Reality-TV",Documentary
"Musical,News",Documentary
"News,Reality-TV",Documentary
"News,Romance",Documentary
"News,Sci-Fi",Documentary
"News,Sport",Documentary
"News,Thriller",Documentary
"News,War",Documentary
"News,Western",Documentary
"Reality-TV,Sport",Documentary
"War,Western",Documentary
"Action,Documentary,Drama","Documentary,Drama"
"Adult,Documentary,Drama","Documentary,Drama"
"Adventure,Documentary,Drama","Documentary,Drama"
"Animation,Documentary,Drama","Documentary,Drama"
"Biography,Documentary,Drama","Documentary,Drama"
"Comedy,Documentary,Drama","Documentary,Drama"
"Crime,Documentary,Drama","Documentary,Drama"
"Action,Documentary,Family","Documentary,Family"
"Adventure,Documentary,Family","Documentary,Family"
"Animation,Documentary,Family","Documentary,Family"
"Biography,Documentary,Family","Documentary,Family"
"Comedy,Documentary,Family","Documentary,Family"
"Crime,Documentary,Family","Documentary,Family"
"Action,Documentary,Fantasy","Documentary,Fantasy"
"Adventure,Documentary,Fantasy","Documentary,Fantasy"
"Animation,Documentary,Fantasy","Documentary,Fantasy"
"Biography,Documentary,Fantasy","Documentary,Fantasy"
"Comedy,Documentary,Fantasy","Documentary,Fantasy"
"Crime,Documentary,Fantasy","Documentary,Fantasy"
"Action,Documentary,History","Documentary,History"
"Adult,Documentary,History","Documentary,History"
"Adventure,Documentary,History","Documentary,History"
"Animation,Documentary,History","Documentary,History"
"Biography,Documentary,History","Documentary,History"
"Comedy,Documentary,History","Documentary,History"
"Crime,Documentary,History","Documentary,History"
"Action,Documentary,Horror","Documentary,Horror"
"Adventure,Documentary,Horror","Documentary,Horror"
"Animation,Documentary,Horror","Documentary,Horror"
"Biography,Documentary,Horror","Documentary,Horror"
"Comedy,Documentary,Horror","Documentary,Horror"
"Crime,Documentary,Horror","Documentary,Horror"
"Action,Documentary,Music","Documentary,Music"
"Adventure,Documentary,Music","Documentary,Music"
"Animation,Documentary,Music","Documentary,Music"
"Biography,Documentary,Music","Documentary,Music"
"Comedy,Documentary,Music","Documentary,Music"
"Crime,Documentary,Music","Documentary,Music"
"Action,Documentary,Musical","Documentary,Musical"
"Adventure,Documentary,Musical","Documentary,Musical"
"Animation,Documentary,Musical","Documentary,Musical"
"Biography,Documentary,Musical","Documentary,Musical"
"Comedy,Documentary,Musical","Documentary,Musical"
"Action,Documentary,Mystery","Documentary,Mystery"
"Adventure,Documentary,Mystery","Documentary,Mystery"
"Animation,Documentary,Mystery","Documentary,Mystery"
"Biography,Documentary,Mystery","Documentary,Mystery"
"Comedy,Documentary,Mystery","Documentary,Mystery"
"Crime,Documentary,Mystery","Documentary,Mystery"
"Action,Documentary,News","Documentary,News"
"Adventure,Documentary,News","Documentary,News"
"Animation,Documentary,News","Documentary,News"
"Biography,Documentary,News","Documentary,News"
"Comedy,Documentary,News","Documentary,News"
"Crime,Documentary,News","Documentary,News"
"Adventure,Documentary,Reality-TV","Documentary,Reality-TV"
"Biography,Documentary,Reality-TV","Documentary,Reality-TV"
"Comedy,Documentary,Reality-TV","Documentary,Reality-TV"
"Action,Documentary,Romance","Documentary,Romance"
"Adventure,Documentary,Romance","Documentary,Romance"
"Biography,Documentary,Romance","Documentary,Romance"
"Comedy,Documentary,Romance","Documentary,Romance"
"Crime,Documentary,Romance","Documentary,Romance"
"Adventure,Documentary,Sci-Fi","Documentary,Sci-Fi"
"Animation,Documentary,Sci-Fi","Documentary,Sci-Fi"
"Biography,Documentary,Sci-Fi","Documentary,Sci-Fi"
"Comedy,Documentary,Sci-Fi","Documentary,Sci-Fi"
"Action,Documentary,Sport","Documentary,Sport"
"Adventure,Documentary,Sport","Documentary,Sport"
"Biography,Documentary,Sport","Documentary,Sport"
"Comedy,Documentary,Sport","Documentary,Sport"
"Crime,Documentary,Sport","Documentary,Sport"
Talk-Show,"Documentary,Talk-Show"
"Action,Documentary,Thriller","Documentary,Thriller"
"Animation,Documentary,Thriller","Documentary,Thriller"
"Biography,Documentary,Thriller","Documentary,Thriller"
"Comedy,Documentary,Thriller","Documentary,Thriller"
"Crime,Documentary,Thriller","Documentary,Thriller"
"Action,Documentary,War","Documentary,War"
"Adventure,Documentary,War","Documentary,War"
"Animation,Documentary,War","Documentary,War"
"Biography,Documentary,War","Documentary,War"
"Comedy,Documentary,War","Documentary,War"
"Crime,Documentary,War","Documentary,War"
"Action,Documentary,Western","Documentary,Western"
"Adventure,Documentary,Western","Documentary,Western"
"Biography,Documentary,Western","Documentary,Western"
"Comedy,Documentary,Western","Documentary,Western"
"Drama,Short",Drama
"Family,Short",Drama
"Mystery,Reality-TV",Drama
"Short,Western",Drama
"Action,Drama,Family","Drama,Family"
"Adventure,Drama,Family","Drama,Family"
"Animation,Drama,Family","Drama,Family"
"Biography,Drama,Family","Drama,Family"
"Comedy,Drama,Family","Drama,Family"
"Crime,Drama,Family","Drama,Family"
"Documentary,Drama,Family","Drama,Family"
"Action,Drama,Fantasy","Drama,Fantasy"
"Adult,Drama,Fantasy","Drama,Fantasy"
"Adventure,Drama,Fantasy","Drama,Fantasy"
"Animation,Drama,Fantasy","Drama,Fantasy"
"Biography,Drama,Fantasy","Drama,Fantasy"
"Comedy,Drama,Fantasy","Drama,Fantasy"
"Crime,Drama,Fantasy","Drama,Fantasy"
"Documentary,Drama,Fantasy","Drama,Fantasy"
"Action,Drama,History","Drama,History"
"Adult,Drama,History","Drama,History"
"Adventure,Drama,History","Drama,History"
"Animation,Drama,History","Drama,History"
"Biography,Drama,History","Drama,History"
"Comedy,Drama,History","Drama,History"
"Crime,Drama,History","Drama,History"
"Documentary,Drama,History","Drama,History"
"Action,Drama,Horror","Drama,Horror"
"Adult,Drama,Horror","Drama,Horror"
"Adventure,Drama,Horror","Drama,Horror"
"Animation,Drama,Horror","Drama,Horror"
"Biography,Drama,Horror","Drama,Horror"
"Comedy,Drama,Horror","Drama,Horror"
"Crime,Drama,Horror","Drama,Horror"
"Documentary,Drama,Horror","Drama,Horror"
"Action,Drama,Music","Drama,Music"
"Adult,Drama,Music","Drama,Music"
"Adventure,Drama,Music","Drama,Music"
"Animation,Drama,Music","Drama,Music"
"Biography,Drama,Music","Drama,Music"
"Comedy,Drama,Music","Drama,Music"
"Crime,Drama,Music","Drama,Music"
"Documentary,Drama,Music","Drama,Music"
"Action,Drama,Musical","Drama,Musical"
"Adventure,Drama,Musical","Drama,Musical"
"Animation,Drama,Musical","Drama,Musical"
"Biography,Drama,Musical","Drama,Musical"
"Comedy,Drama,Musical","Drama,Musical"
"Crime,Drama,Musical","Drama,Musical"
"Documentary,Drama,Musical","Drama,Musical"
"Action,Drama,Mystery","Drama,Mystery"
"Adult,Drama,Mystery","Drama,Mystery"
"Adventure,Drama,Mystery","Drama,Mystery"
"Animation,Drama,Mystery","Drama,Mystery"
"Biography,Drama,Mystery","Drama,Mystery"
"Comedy,Drama,Mystery","Drama,Mystery"
"Crime,Drama,Mystery","Drama,Mystery"
"Documentary,Drama,Mystery","Drama,Mystery"
"Action,Drama,News","Drama,News"
"Biography,Drama,News","Drama,News"
"Comedy,Drama,News","Drama,News"
"Crime,Drama,News","Drama,News"
"Documentary,Drama,News","Drama,News"
"Comedy,Drama,Reality-TV","Drama,Reality-TV"
"Documentary,Drama,Reality-TV","Drama,Reality-TV"
"Action,Drama,Romance","Drama,Romance"
"Adult,Drama,Romance","Drama,Romance"
"Adventure,Drama,Romance","Drama,Romance"
"Animation,Drama,Romance","Drama,Romance"
"Biography,Drama,Romance","Drama,Romance"
"Comedy,Drama,Romance","Drama,Romance"
"Crime,Drama,Romance","Drama,Romance"
"Documentary,Drama,Romance","Drama,Romance"
"Action,Drama,Sci-Fi","Drama,Sci-Fi"
"Adventure,Drama,Sci-Fi","Drama,Sci-Fi"
"Animation,Drama,Sci-Fi","Drama,Sci-Fi"
"Comedy,Drama,Sci-Fi","Drama,Sci-Fi"
"Crime,Drama,Sci-Fi","Drama,Sci-Fi"
"Documentary,Drama,Sci-Fi","Drama,Sci-Fi"
"Action,Drama,Sport","Drama,Sport"
"Adult,Drama,Sport","Drama,Sport"
"Adventure,Drama,Sport","Drama,Sport"
"Animation,Drama,Sport","Drama,Sport"
"Biography,Drama,Sport","Drama,Sport"
"Comedy,Drama,Sport","Drama,Sport"
"Crime,Drama,Sport","Drama,Sport"
"Documentary,Drama,Sport","Drama,Sport"
"Action,Drama,Thriller","Drama,Thriller"
"Adult,Drama,Thriller","Drama,Thriller"
"Adventure,Drama,Thriller","Drama,Thriller"
"Animation,Drama,Thriller","Drama,Thriller"
"Biography,Drama,Thriller","Drama,Thriller"
"Comedy,Drama,Thriller","Drama,Thriller"
"Crime,Drama,Thriller","Drama,Thriller"
"Documentary,Drama,Thriller","Drama,Thriller"
"Action,Drama,War","Drama,War"
"Adventure,Drama,War","Drama,War"
"Animation,Drama,War","Drama,War"
"Biography,Drama,War","Drama,War"
"Comedy,Drama,War","Drama,War"
"Crime,Drama,War","Drama,War"
"Documentary,Drama,War","Drama,War"
"Action,Drama,Western","Drama,Western"
"Adult,Drama,Western","Drama,Western"
"Adventure,Drama,Western","Drama,Western"
"Biography,Drama,Western","Drama,Western"
"Comedy,Drama,Western","Drama,Western"
"Crime,Drama,Western","Drama,Western"
"Documentary,Drama,Western","Drama,Western"
"Action,Family,Fantasy","Family,Fantasy"
"Adventure,Family,Fantasy","Family,Fantasy"
"Animation,Family,Fantasy","Family,Fantasy"
"Biography,Family,Fantasy","Family,Fantasy"
"Comedy,Family,Fantasy","Family,Fantasy"
"Crime,Family,Fantasy","Family,Fantasy"
"Documentary,Family,Fantasy","Family,Fantasy"
"Drama,Family,Fantasy","Family,Fantasy"
"Adventure,Family,History","Family,History"
"Animation,Family,History","Family,History"
"Biography,Family,History","Family,History"
"Comedy,Family,History","Family,History"
"Documentary,Family,History","Family,History"
"Drama,Family,History","Family,History"
"Action,Family,Horror","Family,Horror"
"Adventure,Family,Horror","Family,Horror"
"Comedy,Family,Horror","Family,Horror"
"Drama,Family,Horror","Family,Horror"
"Adventure,Family,Music","Family,Music"
"Animation,Family,Music","Family,Music"
"Comedy,Family,Music","Family,Music"
"Documentary,Family,Music","Family,Music"
"Drama,Family,Music","Family,Music"
"Action,Family,Musical","Family,Musical"
"Adventure,Family,Musical","Family,Musical"
"Animation,Family,Musical","Family,Musical"
"Biography,Family,Musical","Family,Musical"
"Comedy,Family,Musical","Family,Musical"
"Documentary,Family,Musical","Family,Musical"
"Drama,Family,Musical","Family,Musical"
"Action,Family,Mystery","Family,Mystery"
"Adventure,Family,Mystery","Family,Mystery"
"Animation,Family,Mystery","Family,Mystery"
"Biography,Family,Mystery","Family,Mystery"
"Comedy,Family,Mystery","Family,Mystery"
"Crime,Family,Mystery","Family,Mystery"
